date,year,month,vehicle_type,sales_volume,avg_price,ad_expenditure_k,gdp,unemployment,recession,dayofyear
2000-01-01,2000,1,SUV,128,30783.77,6.27,20342.46,4.74,0,1
2000-01-02,2000,1,EV,56,37660.69,3.27,19919.14,4.39,0,2
2000-01-03,2000,1,Hatchback,94,15540.27,5.22,19758.88,4.22,0,3
2000-01-04,2000,1,Hatchback,95,15258.74,5.26,19939.23,4.69,0,4
2000-01-05,2000,1,Sedan,101,21668.8,6.31,19704.75,5.02,0,5
2000-01-06,2000,1,Sedan,104,21549.56,6.06,19801.83,4.5,0,6
2000-01-07,2000,1,Sedan,107,21209.26,6.46,19894.0,4.6,0,7
2000-01-08,2000,1,Truck,116,36372.77,5.05,20165.19,5.17,0,8
2000-01-09,2000,1,Hatchback,94,16298.97,4.27,20349.95,4.02,0,9
2000-01-10,2000,1,Hatchback,87,16615.98,4.8,19993.61,5.52,0,10
2000-01-11,2000,1,Sedan,100,21816.42,6.25,20014.17,5.77,0,11
2000-01-12,2000,1,EV,65,38038.82,3.02,19866.31,7.04,0,12
2000-01-13,2000,1,Truck,122,34563.77,7.0,20219.88,5.74,0,13
2000-01-14,2000,1,Sedan,111,21511.67,4.95,19811.21,4.96,0,14
2000-01-15,2000,1,Sedan,107,22838.06,5.5,20391.07,5.54,0,15
2000-01-16,2000,1,Sedan,99,21904.09,5.15,20041.3,4.84,0,16
2000-01-17,2000,1,SUV,139,29272.49,7.44,19912.08,4.9,0,17
2000-01-18,2000,1,SUV,139,29831.22,7.07,19897.15,5.25,0,18
2000-01-19,2000,1,SUV,133,29574.05,7.93,19901.51,5.03,0,19
2000-01-20,2000,1,Sedan,116,22489.31,6.42,20205.44,4.79,0,20
2000-01-21,2000,1,Hatchback,97,15750.39,4.65,20448.12,4.39,0,21
2000-01-22,2000,1,Sedan,101,22246.32,5.58,20217.35,5.14,0,22
2000-01-23,2000,1,Sedan,99,22600.74,5.39,20237.52,4.73,0,23
2000-01-24,2000,1,SUV,135,29419.17,6.75,20040.19,5.06,0,24
2000-01-25,2000,1,SUV,133,29648.03,6.69,20026.54,4.52,0,25
2000-01-26,2000,1,Hatchback,107,16378.19,4.71,19807.5,4.84,0,26
2000-01-27,2000,1,Sedan,107,21482.68,5.48,19919.19,5.14,0,27
2000-01-28,2000,1,SUV,149,29244.42,7.44,19854.51,4.19,0,28
2000-01-29,2000,1,Hatchback,99,15880.86,5.72,20109.78,4.6,0,29
2000-01-30,2000,1,Sedan,117,21589.67,6.52,20051.9,4.81,0,30
2000-01-31,2000,1,Hatchback,97,16165.53,5.26,19898.49,5.22,0,31
2000-02-01,2000,2,Sedan,114,21376.52,5.82,19685.33,4.88,0,32
2000-02-02,2000,2,Sedan,111,21827.15,6.11,19897.16,5.3,0,33
2000-02-03,2000,2,Truck,130,35204.43,7.71,20013.32,4.83,0,34
2000-02-04,2000,2,EV,71,36702.51,3.67,19599.41,4.59,0,35
2000-02-05,2000,2,Truck,128,34514.41,6.58,19829.78,4.19,0,36
2000-02-06,2000,2,SUV,146,29253.8,7.61,20092.9,4.62,0,37
2000-02-07,2000,2,Sedan,112,22523.76,5.34,20130.94,5.08,0,38
2000-02-08,2000,2,Hatchback,106,15708.06,4.72,20068.57,5.71,0,39
2000-02-09,2000,2,SUV,146,29803.17,7.23,20303.08,5.18,0,40
2000-02-10,2000,2,Sedan,105,22552.74,5.58,19770.23,4.39,0,41
2000-02-11,2000,2,SUV,154,30010.71,8.92,20164.83,4.68,0,42
2000-02-12,2000,2,Sedan,107,22147.59,5.23,20334.75,5.53,0,43
2000-02-13,2000,2,Truck,125,34529.45,6.81,19887.39,5.36,0,44
2000-02-14,2000,2,Sedan,116,21690.75,5.45,20037.93,5.32,0,45
2000-02-15,2000,2,Hatchback,98,16014.34,5.28,19818.31,4.14,0,46
2000-02-16,2000,2,SUV,148,30770.99,7.04,19690.49,4.56,0,47
2000-02-17,2000,2,SUV,149,30012.02,7.68,19959.56,4.33,0,48
2000-02-18,2000,2,SUV,152,31011.04,5.71,20218.21,4.93,0,49
2000-02-19,2000,2,Sedan,119,21221.96,5.82,19811.8,4.11,0,50
2000-02-20,2000,2,EV,63,38105.98,3.56,20133.82,4.59,0,51
2000-02-21,2000,2,Hatchback,103,15932.7,4.47,20078.1,5.34,0,52
2000-02-22,2000,2,Truck,127,35079.47,6.2,19660.11,3.9,0,53
2000-02-23,2000,2,Truck,130,34530.03,7.06,20146.99,4.35,0,54
2000-02-24,2000,2,Hatchback,110,15602.38,5.21,19935.45,5.15,0,55
2000-02-25,2000,2,Truck,133,35783.24,7.39,20013.25,5.19,0,56
2000-02-26,2000,2,Sedan,114,21922.26,5.94,20240.94,4.75,0,57
