id,Unnamed: 0,price,bedrooms,bathrooms,sqft_living,sqft_above,sqft_basement,sqft_living15,grade,view,waterfront,floors,lat,long
1787846414,0,302811,3,1.49,908,459,449,796,3,4,0,2.0,47.404911,-121.848906
3563451924,1,447490,4,1.98,1978,1042,936,1964,4,0,0,2.0,47.695683,-122.454434
5537253172,2,734046,3,3.63,1944,1626,318,2043,10,0,0,1.0,47.506717,-122.347557
8395928407,3,565266,2,1.96,1552,939,613,1435,10,0,0,1.5,47.305602,-121.909794
5298312065,4,330003,4,2.36,1003,771,232,1055,9,0,0,2.0,47.166928,-122.088634
3652062880,5,176058,5,0.81,774,494,280,577,7,0,0,1.0,47.763166,-121.971381
5325316860,6,206282,4,1.33,571,435,136,562,9,0,0,1.0,47.749287,-122.005165
3253890010,7,247562,2,1.44,694,693,1,671,10,3,0,1.5,47.377911,-121.882637
5495394815,8,67132,3,1.57,673,568,105,538,2,2,0,1.5,47.557142,-121.665859
5684118973,9,590181,3,2.81,2158,1453,705,1947,7,0,0,1.0,47.209362,-121.710203
2934879560,10,206709,3,1.56,323,317,6,385,12,0,0,2.0,47.109926,-121.628347
9646907153,11,300248,2,2.49,1614,834,780,1646,1,4,0,2.0,47.794485,-121.904942
6950318585,12,268678,2,1.38,693,405,288,600,13,0,0,3.0,47.774909,-122.350703
1068574553,13,511194,4,1.78,2263,1695,568,2319,2,0,0,2.0,47.363536,-122.187309
1991681409,14,1009345,4,0.5,3969,2564,1405,3293,5,0,0,2.5,47.481696,-122.395239
4578544903,15,511522,4,1.94,1840,1582,258,1454,4,0,0,1.0,47.18084,-122.323516
6974559824,16,912613,6,1.99,2511,1298,1213,2263,11,0,0,1.0,47.362137,-122.11807
7120997885,17,428748,3,1.84,2008,1279,729,1745,2,0,0,3.0,47.598215,-122.489757
6188069941,18,173051,5,3.57,642,595,47,751,7,0,0,2.0,47.186109,-122.314165
7733221635,19,945916,4,1.95,2352,1648,704,2792,12,0,0,1.0,47.480718,-122.110048
5429456860,20,781510,6,0.5,1991,1197,794,1581,10,1,0,1.0,47.735868,-121.996205
7226646571,21,529752,2,1.02,1973,1498,475,1262,6,1,0,1.5,47.650514,-121.852903
6992124617,22,555208,2,1.97,1586,1083,503,1143,12,0,0,1.0,47.234956,-121.946737
9274936803,23,382926,4,1.94,1065,682,383,1231,8,0,0,1.0,47.324526,-121.535198
8418576734,24,342753,5,1.35,1746,1613,133,1206,3,0,0,1.5,47.600384,-122.126364
